,1,1l,1r,1s,2,2l,2r,2s,3,3l,3r,3s,4,4l,4r,4s,id
561,7,2,1,4,5,1,2,2,5,1,1,3,4,2,1,1,rssssll_rrssl_rsssl_rsll
562,7,3,1,3,5,2,1,2,5,1,1,3,5,1,2,2,rssslll_rssll_rsssl_rrssl
563,7,2,2,3,5,2,2,1,5,3,1,1,6,2,2,2,rrsssll_rrsll_rslll_rrssll
564,7,3,2,2,5,2,2,1,5,1,1,3,7,3,2,2,rrsslll_rrsll_rsssl_rrsslll
565,7,1,2,4,5,3,1,1,6,3,1,2,3,1,1,1,rrssssl_rslll_rsslll_rsl
566,7,2,2,3,5,2,1,2,6,2,1,3,4,2,1,1,rrsssll_rssll_rsssll_rsll
567,7,3,1,3,5,2,2,1,6,2,1,3,5,3,1,1,rssslll_rrsll_rsssll_rslll
568,7,1,2,4,5,1,1,3,6,1,1,4,6,3,2,1,rrssssl_rsssl_rssssl_rrslll
569,7,3,1,3,5,1,1,3,6,1,1,4,7,1,1,5,rssslll_rsssl_rssssl_rsssssl
570,7,2,2,3,5,2,1,2,7,1,2,4,3,1,1,1,rrsssll_rssll_rrssssl_rsl
571,7,1,1,5,5,1,2,2,7,2,2,3,4,2,1,1,rsssssl_rrssl_rrsssll_rsll
572,7,2,1,4,5,2,2,1,7,3,1,3,5,1,1,3,rssssll_rrsll_rssslll_rsssl
573,7,1,1,5,5,2,1,2,7,1,1,5,6,3,1,2,rsssssl_rssll_rsssssl_rsslll
574,7,2,2,3,5,1,2,2,7,3,2,2,7,3,1,3,rrsssll_rrssl_rrsslll_rssslll
575,7,1,1,5,6,2,2,2,3,1,1,1,3,1,1,1,rsssssl_rrssll_rsl_rsl
576,7,2,2,3,6,2,1,3,3,1,1,1,4,2,1,1,rrsssll_rsssll_rsl_rsll
577,7,2,2,3,6,2,1,3,3,1,1,1,5,3,1,1,rrsssll_rsssll_rsl_rslll
578,7,2,2,3,6,1,2,3,3,1,1,1,6,2,1,3,rrsssll_rrsssl_rsl_rsssll
579,7,1,2,4,6,1,2,3,3,1,1,1,7,3,2,2,rrssssl_rrsssl_rsl_rrsslll
580,7,2,1,4,6,2,2,2,4,1,2,1,3,1,1,1,rssssll_rrssll_rrsl_rsl
581,7,1,1,5,6,2,1,3,4,1,1,2,4,1,2,1,rsssssl_rsssll_rssl_rrsl
582,7,1,1,5,6,2,2,2,4,2,1,1,5,2,1,2,rsssssl_rrssll_rsll_rssll
583,7,3,2,2,6,1,1,4,4,2,1,1,6,1,1,4,rrsslll_rssssl_rsll_rssssl
584,7,2,2,3,6,1,2,3,4,2,1,1,7,3,1,3,rrsssll_rrsssl_rsll_rssslll
585,7,1,2,4,6,1,1,4,5,1,1,3,3,1,1,1,rrssssl_rssssl_rsssl_rsl
586,7,3,1,3,6,3,1,2,5,1,2,2,4,2,1,1,rssslll_rsslll_rrssl_rsll
587,7,1,1,5,6,3,1,2,5,2,1,2,5,1,1,3,rsssssl_rsslll_rssll_rsssl
588,7,2,1,4,6,2,2,2,5,1,2,2,6,1,1,4,rssssll_rrssll_rrssl_rssssl
589,7,3,2,2,6,3,1,2,5,2,2,1,7,2,2,3,rrsslll_rsslll_rrsll_rrsssll
590,7,2,2,3,6,3,2,1,6,3,1,2,3,1,1,1,rrsssll_rrslll_rsslll_rsl
591,7,2,2,3,6,3,2,1,6,1,1,4,4,2,1,1,rrsssll_rrslll_rssssl_rsll
592,7,1,1,5,6,2,1,3,6,1,2,3,5,2,2,1,rsssssl_rsssll_rrsssl_rrsll
593,7,1,2,4,6,1,2,3,6,1,1,4,6,3,1,2,rrssssl_rrsssl_rssssl_rsslll
594,7,3,1,3,6,3,1,2,6,1,2,3,7,1,1,5,rssslll_rsslll_rrsssl_rsssssl
595,7,3,1,3,6,1,2,3,7,1,1,5,3,1,1,1,rssslll_rrsssl_rsssssl_rsl
596,7,2,2,3,6,1,2,3,7,1,1,5,4,2,1,1,rrsssll_rrsssl_rsssssl_rsll
597,7,1,2,4,6,2,1,3,7,1,2,4,5,1,2,2,rrssssl_rsssll_rrssssl_rrssl
598,7,2,1,4,6,1,1,4,7,2,2,3,6,3,1,2,rssssll_rssssl_rrsssll_rsslll
599,7,3,2,2,6,3,2,1,7,1,1,5,7,2,2,3,rrsslll_rrslll_rsssssl_rrsssll
600,7,2,1,4,7,1,1,5,3,1,1,1,3,1,1,1,rssssll_rsssssl_rsl_rsl
601,7,3,2,2,7,1,2,4,3,1,1,1,4,1,1,2,rrsslll_rrssssl_rsl_rssl
602,7,1,1,5,7,2,1,4,3,1,1,1,5,2,1,2,rsssssl_rssssll_rsl_rssll
603,7,1,2,4,7,3,2,2,3,1,1,1,6,3,1,2,rrssssl_rrsslll_rsl_rsslll
604,7,2,1,4,7,3,1,3,3,1,1,1,7,3,1,3,rssssll_rssslll_rsl_rssslll
605,7,2,1,4,7,2,1,4,4,1,1,2,3,1,1,1,rssssll_rssssll_rssl_rsl
606,7,1,1,5,7,2,2,3,4,1,1,2,4,2,1,1,rsssssl_rrsssll_rssl_rsll
607,7,2,2,3,7,2,1,4,4,1,1,2,5,1,1,3,rrsssll_rssssll_rssl_rsssl
608,7,1,1,5,7,3,2,2,4,1,1,2,6,3,2,1,rsssssl_rrsslll_rssl_rrslll
